id_cliente,nombres,apellidos,numero_identificacion,telefono,correo,direccion,TIPO_IDENT_id_tipo_ident,MUNICIPIO_id_municipio
1,Oscar,Lopez,3358880404,79363326,oscar.lopez@correo.com,11 Calle 8-16 zona 7,1,47
2,Roberto,Castillo,9648665968,31484348,,11 Calle 10-40 zona 23,1,63
3,Oscar,Martinez,6469318275,62970754,oscar.martinez@correo.com,11 Calle 3-73 zona 23,1,15
4,Mario,Jimenez,4710967433,47435505,mario.jimenez@correo.com,4 Calle 10-75 zona 24,1,71
5,Monica,Reyes,29944139,51043037,monica.reyes@correo.com,5 Calle 5-85 zona 19,2,65
6,Julio,Flores,7750819485,77328534,julio.flores2@correo.com,8 Calle 6-34 zona 23,1,43
7,Jorge,Reyes,7829772942,67477326,jorge.reyes@correo.com,11 Calle 3-73 zona 2,1,61
8,Miguel,Castillo,8270110908,33418526,miguel.castillo@correo.com,7 Calle 3-19 zona 16,1,59
9,Andrea,Ortiz,1293864877,66312692,,11 Calle 8-79 zona 2,3,69
10,Roberto,Sanchez,5492496998,32686231,roberto.sanchez2@correo.com,8 Calle 3-98 zona 10,1,56
11,Ana,Morales,1730074215,45096953,ana.morales@correo.com,9 Calle 7-82 zona 22,1,56
12,Andrea,Mendoza,95618110,49349470,,15 Calle 10-28 zona 8,2,80
13,Pedro,Castillo,56381032,65825658,pedro.castillo@correo.com,11 Calle 9-30 zona 3,2,2
14,Claudia,Aguilar,8298348088,66068760,,4 Calle 7-71 zona 4,1,33
15,Maria,Chavez,2513206988,71822825,maria.chavez@correo.com,15 Calle 10-73 zona 10,1,2
16,Ricardo,Mendoza,4145461251,31661401,ricardo.mendoza@correo.com,5 Calle 8-14 zona 19,1,18
17,Andrea,Morales,9218363978,44368777,andrea.morales2@correo.com,3 Calle 9-56 zona 17,3,54
18,Fernando,Cruz,7688606771,56682698,,13 Calle 2-69 zona 3,1,62
19,Andrea,Diaz,6299224734,38630043,andrea.diaz@correo.com,6 Calle 5-84 zona 13,1,69
20,Maria,Mendoza,8083429496,54713925,,11 Calle 2-91 zona 15,1,72
21,Sofia,Gonzalez,6964188417,59264869,sofia.gonzalez@correo.com,2 Calle 2-40 zona 18,1,5
22,Lucia,Chavez,92631441,63592464,,15 Calle 7-93 zona 4,2,70
23,Oscar,Cruz,2540492440,48438733,oscar.cruz@correo.com,8 Calle 4-56 zona 4,1,48
24,Patricia,Cruz,5170814022,62538024,patricia.cruz@correo.com,11 Calle 4-92 zona 21,3,16
25,Ana,Ortiz,6295689007,74442778,ana.ortiz@correo.com,2 Calle 9-36 zona 19,1,17
26,Paola,Mendoza,1566090561,45205279,paola.mendoza@correo.com,13 Calle 3-24 zona 22,1,19
27,Manuel,Sanchez,4202607993,45452128,manuel.sanchez@correo.com,1 Calle 3-63 zona 17,1,3
28,Mario,Castillo,6590459705,72829622,mario.castillo@correo.com,8 Calle 9-38 zona 20,1,66
29,Maria,Lopez,3612617557,62811298,,8 Calle 8-19 zona 3,1,52
30,Luis,Gonzalez,77853916,76455706,luis.gonzalez@correo.com,7 Calle 10-77 zona 10,2,75
31,Alejandra,Hernandez,8848705807,74607488,alejandra.hernandez@correo.com,7 Calle 8-39 zona 14,1,15
32,Patricia,Reyes,19010480,66243275,patricia.reyes@correo.com,11 Calle 5-57 zona 5,2,41
33,Andrea,Martinez,5819946657,53182975,andrea.martinez@correo.com,9 Calle 1-85 zona 18,3,13
34,Manuel,Chavez,3179320310,35825620,,10 Calle 5-55 zona 4,3,55
35,Paola,Chavez,85291541,57166651,paola.chavez@correo.com,2 Calle 5-83 zona 8,2,14
