id_empleado,nombres,apellidos,correo,telefono,fecha_contratacion,TIENDA_id_tienda,CARGO_id_cargo
1,Cristina,Garcia,cristina.garcia@correo.com,59398441,2021-09-15,1,1
2,Claudia,Aguilar,claudia.aguilar@correo.com,74337174,2021-06-08,1,4
3,Carlos,Mendoza,carlos.mendoza@correo.com,59197443,2026-04-06,1,3
4,Laura,Rodriguez,laura.rodriguez@correo.com,32437026,2022-04-17,1,4
5,Diego,Chavez,diego.chavez@correo.com,63770370,2025-05-26,2,1
6,Estuardo,Ramirez,estuardo.ramirez@correo.com,57693979,2025-11-28,2,4
7,Laura,Sanchez,laura.sanchez@correo.com,36672134,2025-05-08,2,4
8,Carlos,Martinez,carlos.martinez@correo.com,34841005,2025-04-02,2,4
9,Silvia,Ramirez,silvia.ramirez@correo.com,73219824,2025-03-23,3,1
10,Mario,Reyes,mario.reyes@correo.com,42582524,2023-12-20,3,4
11,Ana,Chavez,ana.chavez@correo.com,32016911,2025-07-09,3,3
12,Estuardo,Castillo,estuardo.castillo@correo.com,48077999,2024-02-07,3,2
13,Rosa,Hernandez,rosa.hernandez@correo.com,31247595,2023-11-21,3,4
14,Patricia,Lopez,patricia.lopez@correo.com,47358113,2024-12-26,4,1
15,Alejandra,Flores,alejandra.flores@correo.com,63597059,2022-06-18,4,4
16,Estuardo,Lopez,estuardo.lopez@correo.com,51959074,2025-09-14,4,4
17,Ana,Vasquez,ana.vasquez@correo.com,34117625,2024-04-28,4,3
18,Laura,Rodriguez,laura.rodriguez2@correo.com,71666754,2023-04-25,5,1
19,Vivian,Ortiz,vivian.ortiz@correo.com,54426900,2025-11-07,5,4
20,Claudia,Castillo,claudia.castillo@correo.com,52217071,2026-03-05,5,2
21,Sergio,Cruz,sergio.cruz@correo.com,46855396,2024-12-27,6,1
22,Fernando,Castillo,fernando.castillo@correo.com,76075395,2024-11-27,6,4
23,Miguel,Gonzalez,miguel.gonzalez@correo.com,52936571,2025-01-02,6,3
24,Daniela,Ortiz,daniela.ortiz@correo.com,45428914,2023-01-11,6,2
25,Monica,Lopez,monica.lopez@correo.com,36596150,2025-09-06,7,1
26,Julio,Flores,julio.flores@correo.com,61162230,2026-05-21,7,4
27,Lucia,Rodriguez,lucia.rodriguez@correo.com,73484601,2021-07-18,7,3
28,Jose,Gomez,jose.gomez@correo.com,45186414,2021-08-18,7,4
29,Oscar,Mendoza,oscar.mendoza@correo.com,44971793,2025-07-31,7,2
30,Karla,Reyes,karla.reyes@correo.com,45476257,2025-05-04,7,4
31,Cristina,Gomez,cristina.gomez@correo.com,54818418,2024-05-08,8,1
32,Karla,Cruz,karla.cruz@correo.com,35682940,2024-09-23,8,4
33,Maria,Hernandez,maria.hernandez@correo.com,53995870,2024-02-25,8,4
34,Manuel,Ortiz,manuel.ortiz@correo.com,69580255,2026-05-04,8,3
35,Carlos,Vasquez,carlos.vasquez@correo.com,74305700,2021-06-04,9,1
36,Karla,Mendoza,karla.mendoza@correo.com,53090865,2024-10-03,9,4
37,Patricia,Morales,patricia.morales@correo.com,73135534,2023-02-19,9,3
38,Claudia,Diaz,claudia.diaz@correo.com,71006810,2023-03-09,9,4
39,Alejandro,Castillo,alejandro.castillo@correo.com,68418210,2022-11-22,9,3
40,Andrea,Morales,andrea.morales@correo.com,76623525,2022-01-24,9,3
41,Paola,Garcia,paola.garcia@correo.com,35107776,2024-04-06,10,1
42,Ricardo,Diaz,ricardo.diaz@correo.com,67705062,2021-07-31,10,2
43,Miguel,Reyes,miguel.reyes@correo.com,43950888,2025-03-10,10,4
44,Sofia,Castillo,sofia.castillo@correo.com,48795419,2021-04-05,10,3
45,Sergio,Reyes,sergio.reyes@correo.com,78481188,2025-02-18,11,1
46,Laura,Aguilar,laura.aguilar@correo.com,59745959,2022-08-02,11,2
47,Roberto,Sanchez,roberto.sanchez@correo.com,56634586,2025-04-16,11,3
48,Victor,Gonzalez,victor.gonzalez@correo.com,42077581,2024-04-03,11,4
49,Ana,Ramirez,ana.ramirez@correo.com,67534336,2024-06-14,11,4
50,Mario,Garcia,mario.garcia@correo.com,56009888,2022-02-06,11,4
51,Silvia,Sanchez,silvia.sanchez@correo.com,58312114,2022-11-02,12,1
52,Patricia,Perez,patricia.perez@correo.com,63141239,2023-06-04,12,4
53,Maria,Martinez,maria.martinez@correo.com,63276659,2024-06-17,12,3
54,Alejandro,Ramirez,alejandro.ramirez@correo.com,66483562,2025-03-04,12,4
55,Mario,Garcia,mario.garcia2@correo.com,71873851,2022-03-17,13,1
56,Jose,Garcia,jose.garcia@correo.com,44344717,2025-11-17,13,3
57,Mario,Chavez,mario.chavez@correo.com,34656838,2023-03-08,13,4
58,Fernando,Morales,fernando.morales@correo.com,31430812,2021-06-30,14,1
59,Victor,Diaz,victor.diaz@correo.com,42275009,2021-10-26,14,3
60,Sofia,Rodriguez,sofia.rodriguez@correo.com,36825112,2023-10-01,14,2
61,Carlos,Reyes,carlos.reyes@correo.com,62770648,2022-08-15,15,1
62,Paola,Reyes,paola.reyes@correo.com,49753457,2023-12-24,15,4
63,Alejandra,Rodriguez,alejandra.rodriguez@correo.com,56407373,2025-03-21,15,4
64,Cristina,Rodriguez,cristina.rodriguez@correo.com,77358385,2023-11-08,15,3
65,Daniela,Gomez,daniela.gomez@correo.com,56709938,2026-07-13,15,4
66,Andrea,Sanchez,andrea.sanchez@correo.com,69196976,2022-12-19,16,1
67,Silvia,Castillo,silvia.castillo@correo.com,32561176,2024-11-13,16,3
68,Lucia,Jimenez,lucia.jimenez@correo.com,79907391,2022-08-24,16,3
69,Cristina,Cruz,cristina.cruz@correo.com,55217853,2022-06-03,16,2
70,Ricardo,Ramirez,ricardo.ramirez@correo.com,65638893,2024-12-31,17,1
71,Miguel,Ramirez,miguel.ramirez@correo.com,54816534,2025-11-16,17,4
72,Monica,Lopez,monica.lopez2@correo.com,35901239,2026-01-04,17,4
73,Carlos,Rodriguez,carlos.rodriguez@correo.com,58875173,2025-03-03,17,2
74,Sofia,Martinez,sofia.martinez@correo.com,69250138,2026-04-15,18,1
75,Paola,Gonzalez,paola.gonzalez@correo.com,76097514,2023-03-10,18,4
76,Jorge,Vasquez,jorge.vasquez@correo.com,68558378,2024-11-15,18,4
77,Ana,Mendoza,ana.mendoza@correo.com,34486102,2025-09-15,18,2
78,Laura,Perez,laura.perez@correo.com,72259379,2023-12-14,18,4
79,Roberto,Lopez,roberto.lopez@correo.com,45833597,2022-09-25,18,2
80,Pedro,Aguilar,pedro.aguilar@correo.com,74318855,2022-12-15,19,1
81,Paola,Cruz,paola.cruz@correo.com,42198058,2021-06-03,19,4
82,Roberto,Castillo,roberto.castillo@correo.com,38863447,2023-10-13,19,3
83,Estuardo,Jimenez,estuardo.jimenez@correo.com,62349590,2023-03-15,19,3
84,Maria,Martinez,maria.martinez2@correo.com,41348050,2022-04-23,20,1
85,Gabriela,Jimenez,gabriela.jimenez@correo.com,78419378,2023-01-10,20,4
86,Silvia,Martinez,silvia.martinez@correo.com,66837817,2021-10-11,20,2
87,Fernando,Ortiz,fernando.ortiz@correo.com,69312590,2026-02-03,20,4
88,Alejandro,Cruz,alejandro.cruz@correo.com,52944841,2023-12-30,20,4
